종목명,2011 Market Cap,2012 Market Cap,2013 Market Cap,2014 Market Cap,2015 Market Cap,2016 Market Cap,2017 Market Cap,2018 Market Cap,2019 Market Cap,2020 Market Cap,2021 Market Cap,2022 Market Cap,2023 Market Cap
KSS해운,44053172000,99119637000,1.43752E+11,1.45491E+11,1.99399E+11,1.87574E+11,2.10296E+11,1.50245E+11,1.79227E+11,2.39974E+11,2.74753E+11,2.13544E+11,2.13544E+11
LF,1.1813E+12,9.15212E+11,9.85388E+11,8.74276E+11,7.8948E+11,6.30122E+11,9.15212E+11,7.26614E+11,5.4094E+11,4.29828E+11,5.0439E+11,4.64916E+11,3.88015E+11
LG,1.06716E+13,1.13283E+13,1.1162E+13,1.06971E+13,1.23727E+13,1.04829E+13,1.58674E+13,1.21968E+13,1.28978E+13,1.53205E+13,1.29178E+13,1.24656E+13,1.36956E+13
LG디스플레이,8.76648E+12,1.11102E+13,9.07063E+12,1.20405E+13,8.78438E+12,1.12533E+13,1.06987E+13,6.45857E+12,5.81451E+12,6.63748E+12,8.80227E+12,4.45481E+12,4.55857E+12
LG생활건강,7.87108E+12,1.06559E+13,9.0375E+12,1.03023E+13,1.75434E+13,1.45669E+13,2.00356E+13,1.8573E+13,2.13134E+13,2.68091E+13,1.84266E+13,1.19388E+13,5.87642E+12
LG유플러스,3.80947E+12,3.40557E+12,4.69357E+12,5.02103E+12,4.54076E+12,4.9992E+12,6.11256E+12,7.70619E+12,6.19988E+12,5.13018E+12,5.93791E+12,4.82456E+12,4.46653E+12
LG이노텍,1.36678E+12,1.66005E+12,1.68831E+12,2.66255E+12,2.33121E+12,2.09217E+12,3.40806E+12,2.04484E+12,3.31339E+12,4.31925E+12,8.61483E+12,5.97594E+12,5.66827E+12
LG전자,1.11743E+13,1.23951E+13,1.15973E+13,1.01347E+13,9.29749E+12,8.88505E+12,1.81544E+13,1.06481E+13,1.22871E+13,2.31889E+13,2.37091E+13,1.48782E+13,1.74465E+13
LX하우시스,8.02931E+11,7.32693E+11,1.31672E+12,1.53421E+12,1.40316E+12,9.16429E+11,9.28365E+11,5.40553E+11,5.18559E+11,7.33287E+11,5.80881E+11,2.96654E+11,4.11792E+11
LG화학,2.18612E+13,2.26476E+13,2.10116E+13,1.30707E+13,2.36544E+13,1.86661E+13,3.05044E+13,2.59987E+13,2.37432E+13,6.11014E+13,4.5621E+13,4.4489E+13,3.76168E+13
LS,2.4472E+12,3.03646E+12,2.60498E+12,1.74846E+12,1.29927E+12,1.90946E+12,2.3345E+12,1.58102E+12,1.53916E+12,2.29908E+12,1.74202E+12,2.24434E+12,3.00104E+12
LS네트웍스,3.46889E+11,3.37432E+11,3.83729E+11,3.22866E+11,2.87221E+11,2.39167E+11,2.28135E+11,1.95431E+11,1.82035E+11,2.1198E+11,2.37197E+11,1.89127E+11,3.35307E+11
LSELECTRIC,,,,,,,,,,,,,
