Symbol,Name,결산월,회계년,주기,ROE(영업이익)(%)
A024900,덕양산업,12,2022,Annual,40.31
A024900,덕양산업,12,2023,Annual,30.89
A024900,덕양산업,12,2024,Annual,
A053690,한미글로벌,12,2011,Annual,13.57
A053690,한미글로벌,12,2012,Annual,10.10
A053690,한미글로벌,12,2013,Annual,16.16
A053690,한미글로벌,12,2014,Annual,18.16
A053690,한미글로벌,12,2015,Annual,17.32
A053690,한미글로벌,12,2016,Annual,10.43
A053690,한미글로벌,12,2017,Annual,10.67
A053690,한미글로벌,12,2018,Annual,10.59
A053690,한미글로벌,12,2019,Annual,21.46
A053690,한미글로벌,12,2020,Annual,13.05
A053690,한미글로벌,12,2021,Annual,14.39
A053690,한미글로벌,12,2022,Annual,18.10
A053690,한미글로벌,12,2023,Annual,14.91
A053690,한미글로벌,12,2024,Annual,
A002620,제일파마홀딩스,12,2011,Annual,14.02
A002620,제일파마홀딩스,12,2012,Annual,2.67
A002620,제일파마홀딩스,12,2013,Annual,0.57
A002620,제일파마홀딩스,12,2014,Annual,3.62
A002620,제일파마홀딩스,12,2015,Annual,5.52
A002620,제일파마홀딩스,12,2016,Annual,1.27
A002620,제일파마홀딩스,12,2017,Annual,1.90
A002620,제일파마홀딩스,12,2018,Annual,2.75
A002620,제일파마홀딩스,12,2019,Annual,1.78
A002620,제일파마홀딩스,12,2020,Annual,4.58
A002620,제일파마홀딩스,12,2021,Annual,-1.80
A002620,제일파마홀딩스,12,2022,Annual,-1.64
A002620,제일파마홀딩스,12,2023,Annual,5.07
A002620,제일파마홀딩스,12,2024,Annual,
A105840,우진,12,2011,Annual,12.34
A105840,우진,12,2012,Annual,5.29
A105840,우진,12,2013,Annual,-1.30
A105840,우진,12,2014,Annual,0.97
A105840,우진,12,2015,Annual,1.28
A105840,우진,12,2016,Annual,-0.23
A105840,우진,12,2017,Annual,-2.14
A105840,우진,12,2018,Annual,-0.81
A105840,우진,12,2019,Annual,-1.49
A105840,우진,12,2020,Annual,0.98
A105840,우진,12,2021,Annual,5.14
A105840,우진,12,2022,Annual,7.08
A105840,우진,12,2023,Annual,8.22
A105840,우진,12,2024,Annual,
A012320,경동인베스트,12,2011,Annual,10.85
A012320,경동인베스트,12,2012,Annual,11.68
A012320,경동인베스트,12,2013,Annual,10.67
A012320,경동인베스트,12,2014,Annual,8.65
A012320,경동인베스트,12,2015,Annual,3.70
A012320,경동인베스트,12,2016,Annual,-0.01
A012320,경동인베스트,12,2017,Annual,7.36
A012320,경동인베스트,12,2018,Annual,9.64
A012320,경동인베스트,12,2019,Annual,5.74
A012320,경동인베스트,12,2020,Annual,4.89
A012320,경동인베스트,12,2021,Annual,3.24
A012320,경동인베스트,12,2022,Annual,3.31
A012320,경동인베스트,12,2023,Annual,4.63
A012320,경동인베스트,12,2024,Annual,
A282690,동아타이어,12,2011,Annual,
A282690,동아타이어,12,2012,Annual,
A282690,동아타이어,12,2013,Annual,
A282690,동아타이어,12,2014,Annual,
A282690,동아타이어,12,2015,Annual,
A282690,동아타이어,12,2016,Annual,
A282690,동아타이어,12,2017,Annual,
A282690,동아타이어,12,2018,Annual,3.74
A282690,동아타이어,12,2019,Annual,5.17
A282690,동아타이어,12,2020,Annual,4.68
A282690,동아타이어,12,2021,Annual,3.90
A282690,동아타이어,12,2022,Annual,5.98
