Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원),총자산(천원)
A001430,세아베스틸지주,12,2014,Annual,"1,503,917,504","925,381,905","2,429,299,409"
A001430,세아베스틸지주,12,2015,Annual,"1,916,612,077","1,677,317,718","3,593,929,795"
A001430,세아베스틸지주,12,2016,Annual,"1,994,239,325","1,542,848,235","3,537,087,560"
A001430,세아베스틸지주,12,2017,Annual,"2,103,170,498","1,487,814,150","3,590,984,649"
A001430,세아베스틸지주,12,2018,Annual,"1,994,998,724","1,723,895,063","3,718,893,786"
A001430,세아베스틸지주,12,2019,Annual,"1,983,091,009","1,593,798,152","3,576,889,161"
A001430,세아베스틸지주,12,2020,Annual,"1,713,720,569","1,566,714,422","3,280,434,991"
A001430,세아베스틸지주,12,2021,Annual,"1,906,361,506","1,619,635,049","3,525,996,555"
A001430,세아베스틸지주,12,2022,Annual,"1,971,744,747","1,846,659,305","3,818,404,052"
A001430,세아베스틸지주,12,2023,Annual,"2,039,049,834","1,626,121,166","3,665,171,001"
A001430,세아베스틸지주,12,2024,Annual,,,
A001680,대상,12,2011,Annual,"547,080,322","1,018,521,291","1,565,601,613"
A001680,대상,12,2012,Annual,"626,192,218","995,149,594","1,621,341,813"
A001680,대상,12,2013,Annual,"712,967,658","1,025,912,357","1,738,880,015"
A001680,대상,12,2014,Annual,"784,483,201","1,030,343,931","1,814,827,132"
A001680,대상,12,2015,Annual,"818,540,764","1,286,057,897","2,104,598,662"
A001680,대상,12,2016,Annual,"867,270,458","1,441,190,070","2,308,460,528"
A001680,대상,12,2017,Annual,"884,441,103","1,367,990,333","2,252,431,436"
A001680,대상,12,2018,Annual,"928,715,159","1,270,279,648","2,198,994,807"
A001680,대상,12,2019,Annual,"1,014,730,318","1,374,881,483","2,389,611,801"
A001680,대상,12,2020,Annual,"1,101,549,818","1,426,785,228","2,528,335,047"
A001680,대상,12,2021,Annual,"1,247,222,537","1,623,307,569","2,870,530,106"
A001680,대상,12,2022,Annual,"1,322,626,501","1,867,569,947","3,190,196,448"
A001680,대상,12,2023,Annual,"1,343,746,605","1,990,623,423","3,334,370,027"
A001680,대상,12,2024,Annual,,,
A009900,명신산업,12,2011,Annual,"24,409,832","68,652,922","93,062,754"
A009900,명신산업,12,2012,Annual,"13,505,798","89,177,512","102,683,311"
A009900,명신산업,12,2013,Annual,"62,538,969","85,460,040","147,999,009"
A009900,명신산업,12,2014,Annual,"66,548,990","120,340,563","186,889,553"
A009900,명신산업,12,2015,Annual,"81,274,234","143,778,574","225,052,808"
A009900,명신산업,12,2016,Annual,"83,219,355","139,271,458","222,490,813"
A009900,명신산업,12,2017,Annual,"89,511,144","142,100,639","231,611,783"
A009900,명신산업,12,2018,Annual,"46,284,709","238,218,070","284,502,779"
A009900,명신산업,12,2019,Annual,"79,438,194","286,353,309","365,791,503"
A009900,명신산업,12,2020,Annual,"184,046,633","292,854,334","476,900,966"
A009900,명신산업,12,2021,Annual,"297,090,779","422,389,632","719,480,410"
A009900,명신산업,12,2022,Annual,"383,799,554","545,467,700","929,267,254"
