,종목명,2020환경,2021환경,2022환경,2023환경,2024환경,종목코드,시장구분,업종명,시가총액
0,AK홀딩스,C,B,B,A,A,6840.0,KOSPI,기타금융,195931000000.0
1,BYC,D,D,D,D,D,1460.0,KOSPI,섬유의복,246411000000.0
2,CJ,B,B+,B+,A,A,1040.0,KOSPI,기타금융,3574180000000.0
3,CJCGV,B,B,B,A,A,79160.0,KOSPI,서비스업,710106000000.0
4,CJ대한통운,A,A,B+,A,A,120.0,KOSPI,운수창고업,2817320000000.0
5,CJ씨푸드,C,C,C,B+,B+,11150.0,KOSPI,음식료품,98809625750.0
6,CJ제일제당,A,A,A,A,A,97950.0,KOSPI,음식료품,5223800000000.0
7,CS홀딩스,D,D,D,D,D,590.0,KOSPI,기타금융,73540503400.0
8,DB,D,D,D,D,D,12030.0,KOSPI,서비스업,291300000000.0
9,DB금융투자,D,D,C,C,C,16610.0,KOSPI,증권,174030000000.0
10,DB손해보험,A,A,B+,B+,B+,5830.0,KOSPI,보험,6605640000000.0
11,DB하이텍,B+,A,B,A,A,990.0,KOSPI,전기전자,1818120000000.0
12,DRB동일,B,B,D,B,B,4840.0,KOSPI,화학,115793000000.0
13,DSR제강,C,C,D,C,C,69730.0,KOSPI,철강금속,59616000000.0
