,종목명,2011사회,2012사회,2013사회,2014사회,2015사회,2016사회,2017사회,2018사회,종목코드,시장구분,업종명,시가총액
503,SJM홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,25530.0,KOSPI,유통업,54882479400.0
504,에쓰씨엔지니어링,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,23960.0,KOSPI,건설업,49423494464.0
506,에이프로젠,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7460.0,KOSPI,기계,384544000000.0
508,엔씨소프트,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,36570.0,KOSPI,서비스업,3740970000000.0
509,엔케이,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,85310.0,KOSPI,기계,70705283168.0
510,플레이그램,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9810.0,KOSPI,유통업,73895359021.0
511,NPC,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4250.0,KOSPI,화학,188006000000.0
512,영보화학,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14440.0,KOSPI,화학,68800000000.0
515,영진약품,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,3520.0,KOSPI,의약품,375845000000.0
519,예스코홀딩스,B+,B+,B+,A,B+,B+,B+,B+,15360.0,KOSPI,서비스업,233400000000.0
520,오뚜기,B이하,B이하,B이하,B이하,B이하,B+,B+,A,7310.0,KOSPI,음식료품,1649220000000.0
522,오리온홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1800.0,KOSPI,기타금융,888939000000.0
524,우리금융지주,B+,A,B+,A,B이하,B이하,B이하,B+,316140.0,KOSPI,기타금융,10507700000000.0
525,팜젠사이언스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4720.0,KOSPI,의약품,94164759500.0
526,에스메디,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,118000.0,KOSPI,유통업,74672560849.0
528,우성,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6980.0,KOSPI,음식료품,60193200000.0
532,웅진씽크빅,B+,B+,B+,B+,B이하,B이하,B이하,B이하,95720.0,KOSPI,서비스업,250648000000.0
534,윌비스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8600.0,KOSPI,유통업,32609478915.0
535,유나이티드제약,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,33270.0,KOSPI,의약품,372411000000.0
536,유니드,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14830.0,KOSPI,화학,550883000000.0
537,유니온,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,910.0,KOSPI,비금속광물,85707788310.0
541,유성기업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2920.0,KOSPI,운수장비,69669037500.0
